value,hits,bytes,cost,Price
EZLivingInteriors_-_SorrentoChair.usdz,4,79838439,0.0,79.0
,4,1836,0.0,
EminenceTobaccoClosed.usdz,4,6287452,0.0,1099.0
LargeSideboard.glb,4,544,0.0,1365.0
SideTable.glb,4,544,0.0,649.0
WritingDesk.glb,4,544,0.0,649.0
SmallSideboard.glb,4,544,0.0,219.0
frameblue.glb,3,544,0.0,649.0
framepink.glb,3,544,0.0,649.0
framegreen.glb,3,544,0.0,649.0
EminenceTaupeOpen.usdz,3,3770925,0.0,1099.0
Left_Taupe.glb,3,544,0.0,999.0
Left_Black.glb,3,544,0.0,999.0
Giove_Taupe_Closed.glb,3,544,0.0,899.0
Giove_Taupe_Opened.glb,3,544,0.0,899.0
Giove_Black_Opened.glb,3,544,0.0,899.0
Giove_Black_Closed.glb,3,544,0.0,899.0
',2,0,0.0,649.0
,2,14198640,0.0,
Blue.glb,2,0,0.0,308.0
Charcoal.glb,2,0,0.0,308.0
Pink.glb,2,0,0.0,308.0
Green.glb,2,0,0.0,308.0
',2,0,0.0,699.0
EZLivingInteriors_-_Sorrento2Seater.usdz,2,62089150,0.0,649.0
,2,0,0.0,
',1,0,0.0,1199.0
',1,0,0.0,649.0
',1,0,0.0,359.0
',1,0,0.0,179.0
',1,0,0.0,299.0
',1,0,0.0,349.0
',1,0,0.0,799.0
',1,0,0.0,399.0
',1,0,0.0,1199.0
',1,0,0.0,99.0
',1,0,0.0,1365.0
',1,0,0.0,749.0
',1,0,0.0,599.0
',1,0,0.0,348.0
',1,0,0.0,179.0
',1,0,0.0,348.0
',1,0,0.0,348.0
',1,0,0.0,1199.0
',1,0,0.0,135.0
',1,0,0.0,249.0
',1,0,0.0,499.0
',1,0,0.0,399.0
',1,0,0.0,499.0
',1,0,0.0,59.0
',1,0,0.0,599.0
',1,0,0.0,179.0
',1,0,0.0,249.0
',1,0,0.0,149.0
',1,0,0.0,1005.0
',1,0,0.0,149.0
',1,0,0.0,1297.0
',1,0,0.0,599.0
',1,0,0.0,449.0
',1,0,0.0,549.0
',1,0,0.0,599.0
',1,0,0.0,1099.0
',1,0,0.0,219.0
,1,0,0.0,
',1,0,0.0,899.0
,1,0,0.0,
,1,0,0.0,
,1,0,0.0,
,1,0,0.0,
ctiofficechair10size.glb,1,10982773,0.0,249.0
,1,0,0.0,
,1,0,0.0,
,1,0,0.0,
,1,0,0.0,
